dimension,value,observations,runs,independent_dates,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d
TOTAL,ALL,5848,17,10,5848,4984,0.22385097493081108,0.09651385752231785,1.7194404187923427,1.332458114528634,-1.241134852491841,-1.0497424433345115,0.5244783306581059,4268,0.7302323370630908,0.3047972435727519,3.2357115630158693,2.205151249349735,-2.2176758271205066,-1.8782249742002155,0.5433458294283037,3954,1.2027377907430892,0.7280657510193134,4.245471456266126,3.025153363116506,-2.632854894366562,-2.2514816398851223,0.5872534142640364,2587,2.665580682798213,1.9768983147131047,6.336219745957669,4.881706097967342,-3.0906655721678598,-2.625,0.6872825666795516,0.6161825726141079,4.270428015564202,3.0758725341426403,6.073830691921144
decision_date,2026-07-17,12,12,1,12,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,
decision_date,2026-07-31,817,4,1,817,796,0.8277177375230387,0.8037050736453333,2.2486534858720773,2.007135675469862,-0.8926718300810996,-0.5730659025787954,0.7010050251256281,757,1.7793373507626926,1.7142857142857126,4.511461033659699,3.548098741662664,-1.901599030041671,-1.124585960038471,0.7001321003963011,710,1.7741151702034579,1.097801556555733,5.6990279160051145,4.190544412607444,-2.5540247304426438,-1.499065625753676,0.6591549295774648,626,3.770540660902691,2.7268106316113983,7.221317889022741,5.539742331269348,-3.0728380620593594,-1.8941393875396064,0.7779552715654952,0.6766595289079229,3.7427745664739884,3.035211267605634,5.805111821086262
decision_date,2026-08-03,101,5,1,101,87,1.5290430237067536,1.312500000000005,2.773266754358823,2.578125000000009,-0.7319381494362238,-0.4712012861023296,0.7816091954022989,80,2.144050178029585,0.8699772987040388,5.544671251255995,4.358536254500589,-1.5920233583065493,-1.0940406859726304,0.575,78,1.3158525740524278,0.584513438227785,6.773847746509416,4.680609422942251,-2.256630331007062,-1.935357588510178,0.5897435897435898,64,4.4737282522414095,3.587521184772358,8.486442903788213,7.412222464083584,-1.9992415507824695,-1.7006802721088343,0.9375,0.875,3.4,3.0,6.71875
decision_date,2026-08-04,871,2,1,871,812,-0.1919596267459508,-0.21734346434991725,1.6182132293152909,1.311061845424666,-1.4347620438197772,-1.1140534343113073,0.43349753694581283,736,0.28498670492285266,-0.2953918865695182,3.2007796142703806,2.025258846285128,-2.7217979922348943,-2.3791087703890046,0.45108695652173914,681,0.7062574713946619,0.0581751649776585,4.086912050937563,2.50231191862047,-3.2304042504327968,-2.769489710045137,0.5036710719530103,486,1.9777522454565857,1.246955843296771,6.195191925248759,4.83929216323582,-3.4847186131065655,-3.161026403867617,0.6213991769547325,0.6666666666666666,4.9714285714285715,2.814977973568282,5.845679012345679
decision_date,2026-08-05,936,2,1,936,860,-0.1637849501749816,-0.5439070662835443,1.8906628622605357,1.1336577240366186,-1.5167197425131749,-1.3133642792698463,0.37209302325581395,796,0.32471320957217803,-0.38716251038675153,3.2163585976000024,1.820764119564311,-2.4032051025788257,-2.289223054877665,0.4271356783919598,764,0.8746538320261682,0.22191132696429688,3.979715352332733,2.4323291893541876,-2.8478618203290127,-2.6171093691254983,0.5340314136125655,540,2.0760853208510928,1.6276347636679511,6.185487456800291,4.5307740808509305,-3.0203203802995815,-2.8663084112034776,0.5925925925925926,0.5371428571428571,4.103448275862069,2.764397905759162,6.007407407407407
decision_date,2026-08-06,424,1,1,424,406,0.45131815685648824,0.2777542651890119,1.7306305468006085,1.3324593431288,-1.16342880717253,-1.059292271236556,0.5689655172413793,376,0.900450145447536,0.6026602197745978,3.1824980067164006,2.224447225832915,-1.91120098520328,-1.6406158932677664,0.6117021276595744,353,1.8249673181633177,1.4316560664745517,4.244031940294256,3.2403094495524254,-2.2374379134082156,-1.874205844980936,0.6487252124645893,247,2.380650303919578,1.49253731343284,6.550041072941002,5.073962144106892,-2.8361833988044793,-2.3320237735468874,0.6680161943319838,0.5757575757575758,4.696428571428571,3.3994334277620397,6.348178137651822
decision_date,2026-08-07,1293,3,1,1293,1212,-0.011368252532497732,-0.2702087619491367,1.2226508555079074,0.78865581073988,-1.4643139035944528,-1.3361594102524577,0.4430693069306931,1164,0.37453731116440264,0.18943723341494628,2.3795248009024217,1.8220201689426951,-2.230257216533149,-1.9749408119816514,0.5309278350515464,1041,1.2936700216018486,0.9514092590230838,3.5256497448696007,3.013623228292284,-2.4343677440381164,-2.1496771344997057,0.6138328530259366,624,2.530265825177587,1.7822397231889608,5.3833918125998865,4.424586222165027,-3.0751926254210664,-2.7151534308365255,0.7115384615384616,0.6046511627906976,4.912087912087912,3.371757925072046,6.403846153846154
decision_date,2026-08-10,401,1,1,401,385,0.3060059431694902,0.3774494057179556,1.6107254871021357,1.461632155907422,-0.9904883448529626,-0.789117691267105,0.5974025974025974,359,0.9899627055410446,0.7606787595084707,2.9773980217338987,2.525832376578641,-1.8588928727732787,-1.5298738887740249,0.6211699164345403,327,0.7744530015006037,0.5864164623094137,3.7305501476485605,3.1208401124094065,-2.2057168123537627,-1.8402013211701875,0.5779816513761468,0,,,,,,,,,,3.162079510703364,
decision_date,2026-08-20,483,2,1,483,426,0.7822543034223749,0.7185263917095397,1.8636415721094246,1.6263755308704275,-0.7364469279200138,-0.6088293810416312,0.7464788732394366,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,
